source	chromosome	start	stop	length	newick	topology
example/fastas/chr21_68.fa	chr21	290506	295008	4503	(HmelRef,((((HeraRef,Hhim),Hhsa),Htel),Hsar),Hdem);	NT
example/fastas/chr21_69.fa	chr21	295009	299196	4188	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
example/fastas/chr21_7.fa	chr21	299197	301571	2375	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
example/fastas/chr21_70.fa	chr21	301572	306294	4723	(HmelRef,((HeraRef,Hhim),(Hhsa,(Hdem,Hsar))),Htel);	NT
example/fastas/chr21_72.fa	chr21	306295	311148	4854	(HmelRef,((HeraRef,(Hhim,Hhsa)),Htel),(Hdem,Hsar));	NT
example/fastas/chr21_73.fa	chr21	311149	316098	4950	(HmelRef,((((HeraRef,Hhsa),Hhim),Htel),Hdem),Hsar);	NT
example/fastas/chr21_74.fa	chr21	316099	319932	3834	(HmelRef,(HeraRef,Hhsa),(Hhim,(Htel,(Hdem,Hsar))));	NT
example/fastas/chr21_75.fa	chr21	319933	323291	3359	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
example/fastas/chr21_77.fa	chr21	323292	327150	3859	(HmelRef,(((HeraRef,Hhsa),Hhim),Htel),(Hdem,Hsar));	NT
example/fastas/chr21_78.fa	chr21	327151	331988	4838	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
example/fastas/chr21_79.fa	chr21	331989	336743	4755	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
example/fastas/chr21_8.fa	chr21	336744	340151	3408	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
example/fastas/chr21_80.fa	chr21	340152	345036	4885	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
example/fastas/chr21_81.fa	chr21	345037	349033	3997	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
example/fastas/chr21_82.fa	chr21	349034	353735	4702	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
example/fastas/chr21_83.fa	chr21	353736	358555	4820	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
example/fastas/chr21_84.fa	chr21	358556	362301	3746	(HmelRef,((HeraRef,Hhsa),Hhim),(Htel,(Hdem,Hsar)));	NT
example/fastas/chr21_85.fa	chr21	362302	366210	3909	(HmelRef,((HeraRef,Hhsa),Hhim),(Htel,(Hdem,Hsar)));	NT
example/fastas/chr21_86.fa	chr21	366211	370283	4073	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
example/fastas/chr21_87.fa	chr21	370284	374047	3764	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
example/fastas/chr21_88.fa	chr21	374048	378227	4180	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
example/fastas/chr21_89.fa	chr21	378228	381204	2977	(HmelRef,((HeraRef,Hhim),(Htel,(Hdem,Hsar))),Hhsa);	NT
example/fastas/chr21_90.fa	chr21	381205	386205	5001	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
example/fastas/chr21_91.fa	chr21	386206	391206	5001	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
example/fastas/chr21_92.fa	chr21	391207	396207	5001	(HmelRef,((HeraRef,Hhim),Hhsa),(Htel,(Hdem,Hsar)));	T1
example/fastas/chr21_93.fa	chr21	396208	399484	3277	(HmelRef,(((HeraRef,Hhim),Hhsa),Htel),(Hdem,Hsar));	NT
example/fastas/chr21_94.fa	chr21	399485	404213	4729	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
example/fastas/chr21_95.fa	chr21	404214	408160	3947	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
example/fastas/chr21_96.fa	chr21	408161	408926	766	(HmelRef,HeraRef,(Hhim,((Hhsa,(Htel,Hsar)),Hdem)));	NT
example/fastas/chr21_98.fa	chr21	408927	413697	4771	(HmelRef,(((HeraRef,Hhim),Hhsa),(Hdem,Hsar)),Htel);	T2
example/fastas/chr21_99.fa	chr21	413698	417680	3983	(HmelRef,(((HeraRef,(Hhim,Hhsa)),Htel),Hdem),Hsar);	NT
